seg_id,time_to_failure
seg_00030f,4.316954
seg_0012b5,4.448988
seg_00184e,5.508624
seg_003339,8.607259
seg_0042cc,5.8279285
seg_004314,0.66601115
seg_004cd2,6.474635
seg_004ee5,4.096206
seg_004f1f,3.8013387
seg_00648a,2.9717813
seg_006e4a,3.7814994
seg_007a37,4.4263973
seg_00a37e,3.1551957
seg_00be11,2.6479375
seg_00c35b,7.4163303
seg_00cc91,3.167243
seg_00e5f7,5.735343
seg_00f3b9,3.4009187
seg_010eab,6.5096283
seg_0125d9,4.4083223
seg_0144cb,3.8881164
seg_0165c6,8.239802
seg_016913,3.336587
seg_016cdb,4.77273
seg_017314,6.640339
seg_01a8dc,3.9035287
seg_01c775,8.948462
seg_01ecb0,3.6401663
seg_02042f,2.930367
seg_025e78,4.048069
seg_032822,3.5114746
seg_0339ca,4.130681
seg_037461,3.518497
seg_038879,8.725452
seg_03d386,0.98659515
seg_03d63e,3.506732
seg_03d680,8.290113
seg_03f380,2.6798854
seg_0445d7,4.926859
seg_046c28,2.985463
seg_0488a1,7.928101
seg_049957,10.725409
seg_04a696,6.7152653
seg_04ae38,4.404086
seg_04b87a,7.4071946
seg_04cceb,7.06528
seg_04ee93,6.546256
seg_04fd93,6.9697156
seg_0536c9,2.795969
seg_055127,5.4142284
seg_05a1b0,4.0335064
seg_05a4ad,6.200976
seg_05b66a,9.818494
seg_05bef4,2.449451
seg_05e0d7,4.153328
seg_05f126,7.6711683
seg_05f9d6,7.0334635
seg_060ce4,3.1729574
seg_061a33,6.123034
seg_0620e6,6.1507006
seg_063865,5.4392147
seg_065588,3.461056
seg_06893f,2.2894702
seg_06b8c9,5.1883736
seg_06bbc5,3.8661613
seg_06d4a2,3.1195364
seg_06d7ba,2.8414044
seg_070bb0,2.491815
seg_071067,2.8444815
seg_073696,9.205785
seg_075340,3.7842326
seg_075f77,2.9921637
seg_0775a7,3.043686
seg_077b7e,5.101749
seg_079e34,3.431951
seg_07c815,3.9479256
seg_07cd72,5.3749323
seg_07f37c,2.5838165
seg_07f8df,3.2611947
seg_07fc6d,7.1274023
seg_086a61,7.6379576
seg_0870ab,4.584529
seg_0879a8,8.714507
seg_08b136,7.312681
seg_08f441,3.2718837
seg_08fd5b,4.5776443
seg_091c9d,9.131014
seg_093a0a,6.9124002
seg_0968f1,5.836751
seg_0981f3,3.5257454
seg_09dd59,5.8704543
seg_09ed4e,11.414688
seg_09f0ff,4.9345903
seg_0a0fbb,10.467308
seg_0a1bd0,4.9412584
seg_0a42ba,10.009649
seg_0a45a1,2.1859837
seg_0a97c4,4.817803
seg_0aa0fb,5.8201847
seg_0b07c7,5.9082937
seg_0b082e,10.33765
seg_0b32f7,3.4942827
seg_0b3b94,5.34962
seg_0b48c4,2.809349
seg_0b4b24,2.6928167
seg_0b54ac,3.5113397
seg_0b76f5,9.770777
seg_0b9ad8,7.9696817
seg_0b9ba3,9.943284
seg_0ba210,10.597293
seg_0ba585,3.7581482
seg_0bb5fd,4.2934113
seg_0bc877,2.7511911
seg_0be6ee,3.3953905
seg_0c12cc,7.005971
seg_0c1d3a,3.1333275
seg_0c247b,6.760749
seg_0c3943,3.7461643
seg_0c4e31,2.2381861
seg_0c74cf,1.3705003
seg_0c8502,10.00429
seg_0c89ce,6.972339
seg_0c9aa8,9.727194
seg_0cb81b,3.182055
seg_0cca14,2.8392143
seg_0cdcc8,2.2971387
seg_0cf651,2.72264
seg_0d0250,2.715387
seg_0d04b9,4.2645826
seg_0d13a7,3.960671
seg_0d434c,11.279741
seg_0d540e,3.2533607
seg_0d663a,7.694398
seg_0d6d68,4.615366
seg_0d762e,5.6773634
seg_0d833c,6.0335436
seg_0dae4b,3.1014214
seg_0dc38f,1.8143079
seg_0dcc40,6.6811614
seg_0df469,3.8636487
seg_0df75c,12.598431
seg_0dfe8c,4.190245
seg_0e1370,2.347859
seg_0e1fbe,3.796905
seg_0e3739,3.7259607
seg_0e3d44,3.3439875
seg_0e3ed2,2.0406504
seg_0e4833,11.444876
seg_0e7cc5,6.15291
seg_0e8b79,11.490482
seg_0e9987,3.965179
seg_0e9bb3,5.156968
seg_0eb333,2.1253963
seg_0ebfd9,5.5075636
seg_0f565c,2.858492
seg_0f74a3,6.9807487
seg_0f8961,10.589409
seg_0fc67a,10.482683
seg_0fca83,2.6651554
seg_0fd3ff,2.8590817
seg_1010ad,6.7904787
seg_103b32,3.9263048
seg_105cd9,2.649323
seg_1084af,5.2266464
seg_10a595,5.1803856
seg_10c09d,8.455137
seg_10f3a6,3.487386
seg_112b81,5.317087
seg_1144bc,9.835876
seg_114b79,5.044445
seg_115617,4.025661
seg_115a92,3.0210013
seg_11647f,3.4921854
seg_117278,4.6759276
seg_117ff4,3.6269822
seg_11860f,4.2703314
seg_1201e8,4.3181763
seg_121446,6.644679
seg_121cba,2.3165402
seg_122ba9,2.895865
seg_123dd4,9.792886
seg_12ac20,10.148085
seg_12b9ba,6.0900207
seg_12ee6e,4.4367394
seg_130e17,2.8888803
seg_13468a,4.294495
seg_136285,5.398033
seg_136695,7.6442957
seg_137f8a,7.2637844
seg_138807,4.699893
seg_13c2f0,3.8683944
seg_13e25f,5.6328917
seg_140bc5,3.0972722
seg_141f34,11.194247
seg_146926,9.4321575
seg_148698,6.783184
seg_14ad27,2.322391
seg_14c054,9.182247
seg_14c371,6.6876755
seg_14c435,2.4112456
seg_14c89d,4.492138
seg_14c8ce,5.918723
seg_14d1d3,5.2567434
seg_14f5f0,7.7030745
seg_151368,7.717496
seg_151d92,3.6857667
seg_153d6a,11.101681
seg_154361,7.832538
seg_1562cb,11.943062
seg_158691,3.737936
seg_158764,7.191928
seg_15adff,3.2170043
seg_15bf25,7.1693783
seg_15c9f9,2.7645102
seg_161aeb,6.6523275
seg_161f5f,3.5726757
seg_162fc4,7.5753865
seg_16566c,4.582786
seg_166f70,12.196808
seg_168d1c,7.523962
seg_16a270,6.7709155
seg_16c3a7,3.5489902
seg_17067e,4.440232
seg_170684,7.765931
seg_170a0c,8.783616
seg_176542,6.222461
seg_17799c,7.4006596
seg_179d90,8.143509
seg_17adc0,4.398905
seg_17d1ff,3.6720798
seg_17e596,7.360837
seg_180481,5.2117777
seg_18096a,5.89255
seg_1815fe,8.074943
seg_1827c5,12.989888
seg_184222,4.393667
seg_185ad6,7.088947
seg_18d1d0,2.8943498
seg_18d307,1.6485064
seg_18f633,2.643159
seg_18f853,4.643706
seg_18fb65,1.759166
seg_193404,10.007793
seg_19515c,5.2146263
seg_195eda,5.1523457
seg_1969c8,7.8668737
seg_19b08e,3.228693
seg_19b9dd,6.3580256
seg_19e1ff,6.0972033
seg_19ec5c,11.764479
seg_1a0e94,9.9478
seg_1a0eca,5.1354113
seg_1a671a,3.3535538
seg_1a791c,4.7396183
seg_1a8e06,3.1301975
seg_1a8f0d,3.3824074
seg_1a8f2c,8.669957
seg_1abcaf,2.8928823
seg_1ac9e2,4.169193
seg_1ae362,8.23439
seg_1afa29,2.5403743
seg_1b08a4,4.3472385
seg_1b1ad8,4.972233
seg_1b2298,8.113807
seg_1b78af,4.2485704
seg_1baf33,3.5177596
seg_1bd38e,7.1465797
seg_1bf7b3,3.5280242
seg_1c401b,6.8316336
seg_1c4c5b,5.5140476
seg_1c4e72,3.7651885
seg_1c849d,5.1759377
seg_1c904f,2.7421122
seg_1c929e,3.3411355
seg_1cb942,11.942648
seg_1cd352,5.6967874
seg_1cf1b5,3.355298
seg_1d044c,4.3613577
seg_1d11e5,3.7946305
seg_1d596d,3.8941045
seg_1d980f,3.6276307
seg_1da819,3.1845484
seg_1db443,6.85213
seg_1db8e8,10.971243
seg_1dec9c,11.187652
seg_1e0523,3.2187133
seg_1e0b82,9.318546
seg_1e572b,8.10471
seg_1e617a,3.150835
seg_1e61d6,1.9345905
seg_1e677e,5.120801
seg_1eae76,3.909882
seg_1ebe6b,3.5708737
seg_1ece48,2.4604
seg_1eeb8f,3.9340916
seg_1ef708,2.804334
seg_1f1e60,9.987322
seg_1f3d44,6.335756
seg_1f3ede,3.628095
seg_1f5240,3.5278907
seg_1f7cf8,2.8063684
seg_1f9aed,5.0039434
seg_1fa983,2.9651408
seg_1fc7ab,5.708203
seg_1fe311,10.702959
seg_2005a7,4.589337
seg_2018c8,9.942294
seg_204dc6,3.5069714
seg_208ba5,3.066002
seg_2099f4,5.4195175
seg_20a990,3.5925515
seg_20b8d0,5.6014614
seg_20cbac,3.1096735
seg_20cc25,1.003849
seg_20d9de,9.972529
seg_20e9ad,3.5330353
seg_210388,5.5269346
seg_211299,6.599265
seg_211486,9.461705
seg_214492,3.206334
seg_217eed,3.1717222
seg_218049,3.6060393
seg_21eebb,3.214074
seg_21faa9,10.8212385
seg_222c5f,2.9401436
seg_225320,10.161745
seg_226e60,8.048529
seg_229eda,6.3166075
seg_22e509,2.93509
seg_2313d1,4.3147345
seg_232559,8.490409
seg_23323e,2.112135
seg_2367fb,6.770342
seg_238242,6.112508
seg_2383c2,6.124815
seg_2396a2,3.111081
seg_23b123,10.833097
seg_23bdf9,5.049808
seg_23c947,1.4033837
seg_23efb0,4.6965055
seg_23f823,4.056799
seg_23fe27,8.818209
seg_241266,3.6267295
seg_24157a,5.1828375
seg_24458d,4.1486635
seg_2465ce,4.7210436
seg_247262,4.4851255
seg_24ba8d,3.7702785
seg_24c078,7.7903814
seg_24c1c9,3.5645683
seg_24e071,3.2374191
seg_24f338,2.7190576
seg_257b8a,6.543577
seg_2597af,5.2130637
seg_259c63,4.242448
seg_259d65,3.1733577
seg_259dd3,9.445528
seg_25aa9f,11.577034
seg_25ab3f,4.2855864
seg_25b38a,7.404711
seg_25c8dc,7.1823997
seg_25cca7,8.275785
seg_25e76d,3.471222
seg_26049e,8.846962
seg_263deb,3.2560105
seg_263fb3,2.0058143
seg_2642d0,4.275525
seg_2642d4,5.069956
seg_264c7d,8.797499
seg_266805,3.7404308
seg_266c6e,4.9340267
seg_266d4e,4.3142924
seg_268249,4.4026527
seg_268625,3.5034633
seg_268956,4.3989563
seg_26a2a0,-0.34988058
seg_26cba3,3.637032
seg_26edaa,9.26582
seg_2700bd,3.4330883
seg_272a47,1.0434248
seg_274a1a,5.120266
seg_2774c4,12.861112
seg_279725,11.498522
seg_27a282,4.599782
seg_27b7c8,7.559375
seg_27db4d,6.3022738
seg_27de37,6.503542
seg_27f532,10.074009
seg_27ff17,4.4971275
seg_280863,2.3403432
seg_280e3b,4.262769
seg_284223,5.257658
seg_284923,12.024191
seg_287e60,3.0808396
seg_287fef,2.788818
seg_288001,4.360446
seg_2883ec,7.4272394
seg_289d99,2.7176309
seg_28fc32,6.009946
seg_29022f,3.7365005
seg_2916e3,8.749159
seg_293dbf,3.6114018
seg_293dc2,2.9804769
seg_29475f,3.718283
seg_295b1c,9.177305
seg_2977cd,3.6523561
seg_29a073,3.8540702
seg_29acb7,3.6866522
seg_29c772,5.3037453
seg_29c906,4.4670887
seg_29d497,5.316166
seg_29d4c6,11.426165
seg_29e799,5.3464165
seg_2a0ace,10.28791
seg_2a0afc,5.433672
seg_2a0dc0,7.8588243
seg_2a2f1e,5.617323
seg_2a4551,6.3547497
seg_2a6343,6.856963
seg_2a8351,3.0257144
seg_2aa101,3.2621374
seg_2abd33,4.55136
seg_2b2cb3,6.3282547
seg_2b372b,3.5682158
seg_2b4959,5.1302185
seg_2b6d52,8.425381
seg_2ba79a,2.5478444
seg_2bcbde,10.844725
seg_2be983,10.772673
seg_2bf5be,10.0535965
seg_2bf9dd,7.45737
seg_2c3203,3.405138
seg_2c5e9f,5.4381776
seg_2c6011,3.929983
seg_2c69e4,8.7693405
seg_2c762c,5.5043464
seg_2cac57,12.286911
seg_2cadc0,6.061057
seg_2cdbe3,2.316132
seg_2d3828,4.7374973
seg_2d402d,2.729775
seg_2d427f,2.2571971
seg_2d5544,4.205136
seg_2d7cc4,3.2359147
seg_2d92f0,9.623648
seg_2db7dc,4.5818753
seg_2dc6ff,1.0086083
seg_2dccec,4.1457386
seg_2dcd3a,3.7404923
seg_2dcd84,7.7781506
seg_2dfb91,2.4441662
seg_2e2372,6.4247007
seg_2e50fb,3.5239472
seg_2e64af,4.2333555
seg_2e71dd,2.499846
seg_2e88dd,5.6332903
seg_2e917f,5.3335285
seg_2e9a47,5.9772873
seg_2ea616,3.5503063
seg_2eccb9,3.109497
seg_2ece02,4.5859265
seg_2ed79b,4.9072227
seg_2eddf6,8.475744
seg_2ee95c,9.488201
seg_2efd5c,7.6064487
seg_2f1664,6.2388515
seg_2f4f14,3.8792844
seg_2f5695,3.336684
seg_2f60db,8.473422
seg_2f86cd,-0.1480437
seg_2f8e19,7.780861
seg_2f8f6d,8.970748
seg_2f9336,5.199496
seg_2f9581,3.8783612
seg_2fb672,9.149252
seg_2fe382,4.3699346
seg_301c1e,5.446446
seg_30207d,10.600826
seg_304581,4.6346264
seg_304b87,4.2828608
seg_304df5,8.042556
seg_30501b,9.934592
seg_3065ba,5.269344
seg_30661b,4.4895563
seg_306756,8.432543
seg_30ad2a,2.2625358
seg_30b043,4.0113754
seg_30da11,3.3680468
seg_30fd84,9.937244
seg_310230,4.1381407
seg_31064b,2.9854112
seg_311499,2.6987758
seg_311b5e,2.5647573
seg_3128e6,3.237365
seg_3151ff,4.7127514
seg_31631c,5.428719
seg_316f86,4.4256334
seg_318135,2.1516757
seg_31a51f,3.2143414
seg_31a6cd,3.6691308
seg_31b808,6.7048674
seg_31c0f4,11.915732
seg_31d763,4.475816
seg_31d7bf,2.429926
seg_31d810,6.088159
seg_31ddc5,8.78084
seg_3234ca,3.4165697
seg_324447,6.540654
seg_324537,4.597674
seg_325790,3.7449403
seg_326eb7,4.546767
seg_327ed4,2.4757676
seg_32906d,2.0902529
seg_32ad0f,10.145285
seg_32c904,9.206091
seg_32d747,4.821373
seg_32e763,2.6950812
seg_32f3a9,4.776431
seg_32f6df,4.765456
seg_32f72d,4.5005646
seg_32fc4e,10.767925
seg_330579,3.6672068
seg_3319b5,7.0701876
seg_331f2b,10.788559
seg_3340b9,5.125297
seg_335170,1.7671404
seg_337b8c,2.887698
seg_339f80,5.472286
seg_33c30d,2.9868126
seg_342ce6,8.686853
seg_343571,8.089521
seg_3452b2,3.706737
seg_34a2b8,4.6326585
seg_34a8f7,9.6255
seg_34abd2,2.4216766
seg_34ef79,3.6599312
seg_3506d6,3.1609461
seg_35269b,10.982643
seg_355717,4.326021
seg_355d19,8.556837
seg_35a2d7,10.808529
seg_35b009,2.7438164
seg_35b753,4.993144
seg_35ba8f,8.989083
seg_35c587,4.6928263
seg_35dd45,10.332894
seg_35ee83,4.0574455
seg_36147d,3.2008624
seg_361f5a,11.09532
seg_3631ec,3.8748927
seg_3661de,10.54779
seg_369570,4.173415
seg_36b77f,8.5990715
